sn,text,Sentiment
472,Delhi-Mumbai in 10 hours by train?,Negative
473,UP: Villager tied to cot; thrashed for raping stepdaughter; dies,Negative
474,There are too many misconceptions about motherhood; we need to have the strength to break them: Sameera Reddy,Negative
475,Ganga much cleaner now due to Namami Gange: CM Yogi Adityanath,Negative
476,Chennai: Four die as share-auto on wrong side rams bus in Tiruvallur,Negative
477,Curbs on climbers from Pakistan; Bangladesh; Afghanistan & China,Negative
478,KMRC starts dismantling buildings ahead of full-scale demolition,Negative
479,Kerala: With RERA registration likely from January 1; builders worried,Negative
480,Chuku Buku may change the way Bengalureans commute,Negative
481,Chennai writer complains of cyber harassment,Negative
482,Jaipur trader shot at by ex-partner; in hospital,Negative
483,Drain water enters home in Sai Sagar Enclave,Negative
484,Another avoidable tragedy: Fire in building with illegal units in heart of Delhi kills 43,Negative
485,Aurangabad: Police book 5 landlords in 24 hours for withholding tenant information,Negative
486,Man assaults wife; threatens to divorce her,Negative
487,I-T raids expose chinks in NEET process,Negative
488,Delhi: Uzbek woman raped by three men in car,Negative
489,Delhi: Residents hope this isn't another poll promise,Negative
490,500 families in Pulianthope slum have just one public toilet,Negative
491,33% relief in for flood-hit to be paid in cash,Negative
492,Kolkata TV actor threatened; pushed off app cab,Negative
493,Cyclone Kyarr: 80 Tamil Nadu fishermen still incommunicado,Negative
494,On Sunday; no one besides Jena was seen running out of Shireen's house,Negative
495,Mumbai: Families try to regain custody of children caught inside human trafficking web,Negative
496,Two die of Congo fever in Jodhpur: Health department,Negative
497,Mumbai: Man who flashed schoolkids; woman jailed for 17 months,Negative
498,With West Asia crisis on mind; India dials Saudi on crude supply,Negative
499,Rajasthan: 50% posts lying vacant at rehab centre,Negative
500,Delhi: No more cash at toll points from September 13,Negative
